sentiment,message,label_vishal,label_viv,label_avery,manual_avg,tweet_id,BERT_numeric,BERT_label
2,"#New_York City to #Exxon: Pay up for climate change costs
https://t.co/SP9BU7sXP4",-0.1,0,-0.7,-0.266666667,9.54269E+17,-0.452397764,Negative
0,"In an ironic twist:
Based on this theory, will the administration use global warming as rationale for the 'disappoi… https://t.co/1gsumP8Dqy",-0.2,0,-0.1,-0.1,8.50337E+17,-0.366809785,Negative
0,"RT @BlacklistedNews: Hypocrite: Obama goes to “climate change speech” in Italy, stays in $20k/night villa, takes private jet, has 14 car…",-0.1,-0.7,-0.2,-0.333333333,8.62749E+17,0.029720902,Neutral
-1,Pres. Trump listed facts about the Paris global warming treaty. Democrats like John Kerry and Jerry Brown are lying to you! #WakeUpAmerica!,-0.4,-0.65,-0.5,-0.516666667,8.70868E+17,-0.155424356,Neutral
-1,Watch: Bill Nye blows gasket when a real scientist schools him on facts about ‘climate change’ – LMAO!!!!!�������������������� https://t.co/gxCqRtj8yR,0.3,-0.3,-1,-0.333333333,8.55911E+17,-0.199630022,Neutral
-1,@ScottAdamsSays isnt 'climate change' @ broadest level a checkmate of confirmation bias: temp up = confirmation. Temp down = confirmation,-0.15,0,-0.1,-0.083333333,8.3526E+17,-0.426510572,Negative
1,@ddale8 That's a good one. Shouldn't he be out denying climate change?,0.7,-0.2,0,0.166666667,7.93482E+17,0.009193659,Neutral
2,RT @AP: The Latest: President Trump to announce the US is withdrawing from the Paris climate change accord. https://t.co/f5RvFQzARj,0.3,0,0,0.1,8.70352E+17,-0.064216435,Neutral
1,RT @SenBennetCO: Introduced bill with 30+ Senators to rescind @POTUS anti-climate EO so we can combat climate change &amp; protect jobs → https…,0.2,0.8,0,0.333333333,8.47208E+17,-0.248079658,Negative
1,"RT @williamlegate: @realDonaldTrump @NASA 
Exxon &amp; other oil companies have known about global warming since the 70s…
https://t.co/iS0B81IY…",-0.1,0.4,0.4,0.233333333,8.44422E+17,-0.535052955,Negative
1,"RT @IndieWire: 'Age of Consequences' doc examines the ties between climate change and social conflict 
https://t.co/iFUECUSdvF https://t.coÃ¢â‚¬Â¦",0.05,0,0,0.016666667,7.96524E+17,-0.500434756,Negative
-1,"RT @ABPolitical: This has NOTHING to do with the 'climate change' SCAM &amp; EVERYTHING to do with funding the RADICAL UN, agenda 21Ã¢â‚¬Â¦",-0.3,-1,-0.6,-0.633333333,7.95257E+17,0.190499425,Neutral
0,@CNN Wow...thank God there is no such thing as global warming or climate change,0.2,0.3,-0.1,0.133333333,9.58246E+17,-0.134951115,Neutral
-1,"@thedailybeast @scottbix Thatâ€™s the weather, not climate change!",-0.2,-0.2,-0.1,-0.166666667,9.59914E+17,-0.47976768,Negative
2,EPA chief Scott Pruitt doubts carbon dioxide the key culprit in global warming https://t.co/zhAiTgtxaC #breakingnews https://t.co/2BkKCWZMMm,0,0,0.2,0.066666667,8.39992E+17,-0.338936985,Negative
1,"The Weather Channel shuts down Breitbart: Yes, climate change is real https://t.co/bJepbLLCuU https://t.co/zTt8nJaHVH",0.05,0.2,0.4,0.216666667,8.06318E+17,0.079034328,Neutral
2,Grub Street: Maine$q$s Lobsters Could Go Extinct in 85 Years Because of Global Warming: (Photo:… https://t.co/ZVCtk18Dur | @HuffingtonPost,-0.4,-0.4,0.2,-0.2,7.82322E+17,-0.093248665,Neutral
2,RT @RawStory: Researchers say we have three years to act on climate change before it’s too late https://t.co/WdT0KdUr2f https://t.co/Z0ANPT…,-0.5,-0.6,0.4,-0.233333333,8.80429E+17,-0.428947091,Negative
1,RT @nature: Editorial: The potential economic damage from global warming should not be influenced by politics…,0.1,-0.8,0.6,-0.033333333,8.24458E+17,-0.324100018,Negative
-1,@NoahCRothman @MZHemingway @TobinCommentary Abortion and climate change are religion for the Left.,0,-0.3,0.2,-0.033333333,7.76051E+17,-0.503487885,Negative
0,"RT @SirThomasWynne: Turnbull's dead end on climate change

 https://t.co/sn0jeT6o3G",-0.3,0,0,-0.1,8.14343E+17,-0.528964281,Negative
2,"RT World mayors at Vatican: Climate change is real, man-made and must be contained - 660 News  https://t.co/xUbglHVUfi",0.2,0,0.3,0.166666667,6.23775E+17,-0.238209605,Negative
-1,RT @kcjw33: Dr. Roger Pielke Jr.: ‘The science ain’t there’ to link extreme weather to ‘climate change’ https://t.co/7Lz2QyM32s #feedly,-0.15,0,0.2,0.016666667,8.9591E+17,-0.466815412,Negative
-1,"RT @MissLizzyNJ: Every time someone is killed or raped in the name of Allah, it only makes sense to blame global warming and the Chinese. -…",-0.6,-0.5,0.4,-0.233333333,8.44697E+17,0.188425899,Neutral
0,My moms response to my climate change anxiety 'it's 9am on a Saturday there's not much you can do about the rainforest right now is there?',0.2,-0.1,0.3,0.133333333,8.53243E+17,-0.510641932,Negative
1,@HeyItzRiley__ Anthropogenic climate change is a serious issue that the world is currently not doing enough to combat.,-0.3,-0.3,0.8,0.066666667,9.12594E+17,-0.134415329,Neutral
-1,"RT @realDonaldTrump: It's freezing outside, where the hell is 'global warming'??",-0.4,-0.4,0.6,-0.066666667,7.93342E+17,-0.18436712,Neutral
2,"Climate change and lack of sanitation threaten water safety for millions
https://t.co/dsaplTsfnX https://t.co/L6zZuYHQ0W",-0.6,-0.1,0,-0.233333333,7.26207E+17,-0.256935239,Negative
1,"RT @KennethBerlin: Our work to solve climate change, one of the greatest challenges humanity has ever faced, has never been easy. WhatÃ¢â‚¬Â¦",0.7,0,0.7,0.466666667,7.96811E+17,0.399755359,Positive
0,RT @EnviroRep_whs: Perks of climate change: female domination @WoW_WHS https://t.co/lqUXSlrkIv,0.4,0.1,1,0.5,9.62922E+17,-0.40230155,Negative
1,Florida reef rescuers race to keep pace with climate change https://t.co/1CBZSVrDXN via @sfchronicle w/ @nature_org #SaveOurOcean,0.2,-0.1,0,0.033333333,8.75727E+17,-0.240842342,Negative
-1,So says global warming alarmists are unpatriotic racistsi urge him to look at.,-0.3,-0.6,0.2,-0.233333333,8.43367E+17,-0.210271657,Negative
2,RT @BelugaSolar: Donald Trump actually has very little control over green energy and climate change https://t.co/cKamQurLWC,-0.1,0.3,0.3,0.166666667,8.0031E+17,0.015423894,Neutral
-1,@EnviroNews can't tax us for this it's not climate change,-0.1,0.2,-0.2,-0.033333333,8.27495E+17,0.077790856,Neutral
2,RT @thehill: EPA flooded with phone calls after EPA head denies CO2 role in climate change: report https://t.co/Q2F7fFl1qS https://t.co/32g…,-0.1,0,0,-0.033333333,8.40592E+17,-0.012132525,Neutral
